CustomerID,Gender,Age,City,JoinDate,Segment
1,Male,55,Delhi,2022-08-27,Regular
2,Other,34,Chennai,2020-10-26,New
3,Male,29,Mumbai,2019-05-15,Loyal
4,Female,69,Bangalore,2022-08-12,New
5,Female,41,Kolkata,2019-12-18,New
6,Female,46,Mumbai,2021-02-15,Regular
7,Male,60,Kolkata,2022-02-17,Regular
8,Female,42,Chennai,2019-10-28,Regular
9,Other,53,Bangalore,2020-12-15,Loyal
10,Other,43,Bangalore,2018-08-16,New
11,Male,55,Chennai,2018-05-29,New
12,Other,18,Chennai,2020-12-05,Loyal
13,Other,37,Delhi,2021-03-13,New
14,Male,45,Chennai,2019-09-24,New
15,Female,33,Hyderabad,2021-09-25,Regular
16,Female,64,Chennai,2019-02-17,Loyal
17,Female,34,Hyderabad,2022-10-22,Regular
18,Male,57,Chennai,2019-06-04,Loyal
19,Other,45,Delhi,2021-09-29,Regular
20,Female,29,Hyderabad,2021-01-07,New
21,Female,44,Mumbai,2019-08-21,Loyal
22,Male,59,Hyderabad,2022-07-18,Loyal
23,Female,64,Delhi,2022-08-13,Regular
24,Male,47,Kolkata,2023-12-01,Loyal
25,Other,58,Hyderabad,2023-12-29,New
26,Male,51,Chennai,2023-04-09,New
27,Male,54,Chennai,2019-12-31,New
28,Male,23,Kolkata,2019-08-12,Regular
29,Male,24,Delhi,2019-01-12,Loyal
30,Other,49,Bangalore,2021-11-08,Regular
31,Other,49,Chennai,2023-02-13,New
32,Female,42,Mumbai,2020-01-21,Loyal
33,Other,50,Delhi,2019-09-19,New
34,Other,24,Hyderabad,2022-06-18,Loyal
35,Female,69,Hyderabad,2020-09-21,Loyal
36,Other,29,Mumbai,2022-05-03,Regular
37,Male,33,Chennai,2019-12-04,Loyal
38,Male,33,Delhi,2023-08-22,New
39,Female,60,Mumbai,2021-03-25,Loyal
40,Female,53,Chennai,2019-04-22,New
41,Female,30,Delhi,2019-02-05,Regular
42,Male,24,Hyderabad,2018-02-26,New
43,Other,53,Delhi,2023-02-19,Loyal
44,Male,64,Kolkata,2019-03-24,New
45,Female,68,Bangalore,2018-07-22,New
46,Other,26,Delhi,2022-07-15,Loyal
47,Other,49,Bangalore,2020-01-08,New
48,Male,28,Delhi,2018-07-21,Loyal
49,Female,25,Bangalore,2021-09-15,Regular
50,Male,50,Kolkata,2020-06-10,New
51,Other,40,Hyderabad,2018-08-04,Regular
52,Male,42,Chennai,2018-01-23,New
53,Male,25,Bangalore,2021-04-24,New
54,Female,62,Kolkata,2020-01-19,Regular
55,Female,39,Bangalore,2020-03-15,New
56,Other,21,Hyderabad,2018-05-14,New
57,Male,57,Bangalore,2018-11-17,Regular
58,Male,20,Kolkata,2019-03-10,New
59,Male,46,Kolkata,2020-11-11,Loyal
60,Other,58,Mumbai,2020-05-22,New
61,Other,46,Hyderabad,2023-09-30,New
62,Female,51,Mumbai,2018-09-10,New
63,Female,51,Hyderabad,2020-08-23,Regular
64,Female,45,Bangalore,2020-01-09,Loyal
65,Male,30,Kolkata,2021-02-03,Loyal
66,Male,32,Mumbai,2021-09-01,New
67,Female,40,Bangalore,2018-10-29,Regular
68,Male,61,Kolkata,2023-06-01,Regular
69,Female,43,Hyderabad,2019-07-05,Loyal
70,Other,21,Kolkata,2022-01-18,Regular
71,Female,43,Bangalore,2021-08-08,New
72,Other,57,Mumbai,2022-05-07,New
73,Male,26,Mumbai,2022-12-28,Regular
74,Female,22,Kolkata,2022-12-30,New
75,Male,49,Bangalore,2021-03-10,Loyal
76,Other,37,Delhi,2018-11-10,New
77,Other,67,Hyderabad,2018-07-03,Regular
78,Other,28,Hyderabad,2022-08-15,Loyal
79,Male,32,Bangalore,2019-12-14,New
80,Male,49,Delhi,2023-12-16,Loyal
81,Male,45,Mumbai,2021-08-03,Regular
82,Male,39,Chennai,2018-09-28,New
83,Other,58,Chennai,2022-11-30,New
84,Other,34,Bangalore,2020-03-21,Loyal
85,Female,43,Delhi,2018-07-17,New
86,Female,61,Delhi,2020-12-15,New
87,Male,24,Hyderabad,2021-05-11,New
88,Other,59,Mumbai,2022-07-03,New
89,Other,43,Kolkata,2019-09-20,Regular
90,Other,42,Delhi,2019-08-27,New
91,Female,27,Kolkata,2021-03-07,Loyal
92,Female,62,Chennai,2021-12-16,Regular
93,Other,36,Kolkata,2020-12-16,Loyal
94,Other,28,Mumbai,2022-05-05,Loyal
95,Other,30,Mumbai,2023-10-20,Loyal
96,Female,25,Kolkata,2020-06-29,Regular
97,Other,57,Bangalore,2019-08-17,Regular
98,Other,21,Delhi,2021-10-27,Regular
99,Male,64,Bangalore,2019-08-23,New
100,Male,48,Kolkata,2019-05-29,Loyal
101,Female,45,Delhi,2023-03-11,Regular
102,Other,28,Hyderabad,2023-11-02,Loyal
103,Other,60,Bangalore,2020-12-02,Regular
104,Male,18,Bangalore,2023-05-12,Regular
105,Female,66,Kolkata,2020-03-20,Regular
106,Male,64,Chennai,2023-12-21,Loyal
107,Male,69,Kolkata,2020-12-24,New
108,Male,55,Bangalore,2018-10-17,Regular
109,Male,41,Delhi,2020-02-08,Regular
110,Other,64,Chennai,2019-04-16,Regular
111,Other,48,Kolkata,2018-03-29,New
112,Male,58,Kolkata,2020-02-29,Loyal
113,Female,63,Bangalore,2022-07-23,Loyal
114,Female,67,Bangalore,2021-08-02,Loyal
115,Female,43,Hyderabad,2020-05-14,Loyal
116,Female,66,Kolkata,2021-07-17,Regular
117,Male,67,Bangalore,2018-01-24,New
118,Other,22,Mumbai,2023-03-02,Regular
119,Female,37,Chennai,2018-11-07,New
120,Male,69,Mumbai,2022-01-24,Loyal
121,Female,58,Chennai,2021-05-16,New
122,Female,28,Kolkata,2019-12-07,Regular
123,Male,50,Hyderabad,2021-09-21,Regular
124,Other,67,Bangalore,2019-02-26,Loyal
125,Other,55,Bangalore,2022-11-09,Regular
126,Male,44,Bangalore,2020-08-04,Regular
127,Other,51,Kolkata,2021-04-01,New
128,Male,32,Chennai,2023-01-09,Regular
