SaleID,ProductID,CustomerID,StoreID,Quantity,Discount,Date,UnitPrice,SalesAmount
1,117,1057,13,7,0.06,2024-07-04,453.16,2981.79
2,77,2143,27,8,0.3,2024-02-08,72.63,406.73
3,55,205,19,3,0.16,2023-01-30,498.15,1255.34
4,10,2882,16,4,0.09,2023-09-15,482.99,1758.08
5,80,2078,2,7,0.2,2024-10-19,101.17,566.55
6,134,2314,1,5,0.2,2024-01-10,122.57,490.28
7,176,2071,3,7,0.1,2024-06-10,185.31,1167.45
8,116,2657,24,6,0.3,2020-04-12,163.42,686.36
9,195,39,44,4,0.24,2024-06-05,30.56,92.9
10,169,173,38,2,0.12,2020-05-11,312.3,549.65
11,79,760,2,6,0.2,2024-03-04,45.39,217.87
12,60,1915,16,6,0.21,2024-01-04,9.55,45.27
13,42,414,29,6,0.05,2024-07-05,498.88,2843.62
14,116,692,37,1,0.26,2024-12-07,163.42,120.93
15,109,2663,44,6,0.25,2022-07-27,144.52,650.34
16,71,2257,4,2,0.23,2021-07-05,476.77,734.23
17,156,22,14,5,0.07,2022-07-09,192.04,892.99
18,102,2053,17,7,0.04,2022-10-27,472.4,3174.53
19,13,2699,44,1,0.05,2022-10-20,198.58,188.65
20,15,214,45,5,0.03,2021-04-22,20.5,99.42
21,36,1696,17,9,0.28,2024-06-30,216.42,1402.4
22,15,920,20,3,0.26,2020-01-06,20.5,45.51
23,117,907,47,2,0.03,2021-07-06,453.16,879.13
24,75,2720,29,2,0.2,2024-10-25,287.18,459.49
25,56,2715,41,3,0.07,2022-11-26,441.9,1232.9
26,95,800,26,1,0.01,2022-09-07,380.13,376.33
27,132,2365,42,2,0.09,2020-08-04,205.58,374.16
28,52,793,38,6,0.13,2024-05-28,339.47,1772.03
29,138,576,17,8,0.01,2021-06-14,459.96,3642.88
30,173,1728,12,4,0.1,2022-04-15,302.96,1090.66
31,84,1448,28,2,0.21,2020-11-11,128.87,203.61
32,29,91,9,5,0.07,2020-08-08,104.85,487.55
33,53,1066,32,3,0.15,2023-09-22,273.02,696.2
34,157,761,34,5,0.27,2024-05-24,129.46,472.53
35,151,770,16,3,0.01,2022-01-11,193.54,574.81
36,185,1361,48,4,0.24,2020-04-08,56.91,173.01
37,178,2049,31,5,0.12,2021-03-27,45.47,200.07
38,21,2157,27,7,0.16,2022-07-31,408.65,2402.86
39,112,2976,29,2,0.07,2024-08-31,376.55,700.38
40,171,2003,1,6,0.17,2023-02-26,68.38,340.53
41,138,1088,27,6,0.22,2023-01-08,459.96,2152.61
42,76,206,32,6,0.06,2020-03-29,261.57,1475.25
43,30,2898,11,7,0.1,2022-11-29,256.74,1617.46
44,125,2638,35,3,0.17,2023-07-07,55.06,137.1
45,51,623,2,5,0.13,2021-11-23,347.01,1509.49
46,161,1678,46,9,0.09,2022-04-05,278.19,2278.38
47,146,1552,1,9,0.14,2022-02-24,70.93,549.0
48,78,2701,6,7,0.09,2023-02-16,405.63,2583.86
49,22,1872,7,9,0.09,2020-08-29,386.78,3167.73
50,64,79,2,3,0.18,2020-10-05,361.87,890.2
51,21,2463,2,7,0.14,2023-10-19,408.65,2460.07
